modality,n_datasets,has_license,has_creators,has_sources,has_tasks,has_human_annotation,has_parent_refs,has_generating_models,has_hf_url,has_arxiv_url,has_year
speech,95,100.0,100.0,0.0,0.0,0.0,0.0,0.0,46.31578947368421,0.0,49.473684210526315
text,3717,100.0,90.85283831046543,94.18886198547214,100.0,97.7670164110842,51.869787463007796,13.263384449825127,94.24266881894,71.75141242937853,94.99596448748991
video,105,100.0,99.04761904761905,100.0,100.0,0.0,0.0,0.0,12.380952380952381,98.09523809523809,29.523809523809526
